"year","industry_name","average_wage","food_category","average_price","price_value","price_unit"
2006,"Profesní, vědecké a technické činnosti",24645.00,"Pivo výčepní, světlé, lahvové",8.45,0.5,l
2006,"Profesní, vědecké a technické činnosti",24645.00,Hovězí maso zadní bez kosti,166.34,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Vejce slepičí čerstvá,23.49,10.0,ks
2006,"Profesní, vědecké a technické činnosti",24645.00,Banány žluté,27.30,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Rostlinný roztíratelný tuk,69.45,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Chléb konzumní kmínový,16.12,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Pečivo pšeničné bílé,38.60,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Jablka konzumní,30.71,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Kapr živý,69.35,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Mrkev,14.41,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Vepřová pečeně s kostí,105.18,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Eidamská cihla,110.95,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Jogurt bílý netučný,5.83,150.0,g
2006,"Profesní, vědecké a technické činnosti",24645.00,Rýže loupaná dlouhozrnná,21.29,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Rajská jablka červená kulatá,57.83,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Máslo,104.39,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Pšeničná mouka hladká,7.41,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Cukr krystalový,21.73,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Konzumní brambory,12.07,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Papriky,35.31,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Těstoviny vaječné,26.10,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Mléko polotučné pasterované,14.44,1.0,l
2006,"Profesní, vědecké a technické činnosti",24645.00,Pomeranče,24.73,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Kuřata kuchaná celá,47.47,1.0,kg
2006,"Profesní, vědecké a technické činnosti",24645.00,Přírodní minerální voda uhličitá,7.69,1.0,l
2006,"Profesní, vědecké a technické činnosti",24645.00,Šunkový salám,116.77,1.0,kg
